Product_Name,Data sheets,Features,General text,Technical Specifications,url,Product category
"Autonomous Underwater Vehicle, HUGIN Edge",https://www.kongsberg.com/contentassets/8cf870df24534451afb5f54d171ba2ba/datasheet_hugin_edge.pdf,"• Exceptional reliability, durability and performance • Truly autonomous missions • Next generation mid-size Autonomous Underwater Vehicle • Equipped with side-scan sonar or next generation synthetic aperture sonar (upgradeable) • Ultra high-frequency multi-beam echo sounder and magnetometer for precise mapping • Autonomous by design with low logistics and exceptional navigation performance • Flexible delivery with USV or uncrewed launch and recovery • Goal-based mission planning employing Artificial Intelligence • Always flexible and maximizes operational cycles","The HUGIN Edge is a next generation mid-size Autonomous Underwater Vehicle to join the HUGIN Family. Exceptional reliability, durability and performance has been drawn from the HUGIN, coupling ease of operations from uncrewed surface vessels to the most advanced AUV features on the market. Capabilities include truly autonomous missions making the system an optimal choice in applications from commercial survey to advanced defence operations. The smallest most lightweight member of the HUGIN family, a fresh low drag body at four metres in length using a wet flooded carbon monocoque design, unique in its class. HUGIN Edge is equipped with side-scan sonar or next generation synthetic aperture sonar (upgradeable) for ultra high-resolution imagery and bathymetry. With an ultra high-frequency multi-beam echo sounder providing clean, interference free, wide-swath bathymetry along with a magnetometer for precise magnetic mapping. The HUGIN Edge solution is autonomous by design. UNIQUE IN DESIGN It allows low logistics without compromise on sensor performance. The vehicle combines the latest advances in autonomy and operability with the exceptional navigation performance for which the HUGIN family is renowned. HUGIN Edge collects high resolution data without the need for in-mission supervision. No other vehicle provides this performance in this form factor. The HUGIN Edge is always flexible and can be delivered with USV or uncrewed launch and recovery maximizing operational cycles. The goal-based mission planning employs Artificial Intelligence where missions are organized based on objectives rather than long lists of waypoints. EDGE takes full advantage of any priori knowledge to plan and then using integrated on-board sensors adapts in mission to the most optimal solution removing human dependency.","Endurance: 24 hours @ 4 knots, 85% payload usage; Depth rating: 1000m; Speed range: 2 - 5 knots; Dimensions: Length 400cm; height 35cm; Weight: 300kg in air*; Navigation: Better than 0.04% of DT CEP50**; Connectivity: Hi-speed wireless download, cNode acoustic link, Iridium, 4/5G, long-range RF; Navigation Sensor Suite: Sunstone INS, Seatex MGC, DVL, CT/P/SVT, multi-axes FLS; Sidescan: Sidescan upgradeable to customizable high coverage high resolution Synthetic Aperture Sonar; MBES: 0.7 – 1.4MHz, 140° of coverage; Magnetometer: High-sensitivity magnetometer; Camera: Low-light colour camera and strobe; SBP: Lightweight wideband SBP",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/autonomous-underwater-vehicle-hugin-edge/,"Seafloor mapping, Surveillance & monitoring, Naval, Geophysical survey, Autonomous and uncrewed solutions"
"Autonomous Underwater Vehicle, HUGIN Endurance",https://www.kongsberg.com/contentassets/3a18a176bcca41e98b7f08eedf64e4e8/473631a_hugin_endurance_datasheet.pdf,"HUGIN Endurance can be configured with a variety of sensors for different applications. It is the largest member of the HUGIN family (Ø1.2 m, 10 m long) and remains transportable with a standard shipping container. The latest advances in lithium-ion batteries have extended mission time to days and weeks. Equipped with KONGSBERG’s Sunstone, it collects consistent, high-resolution data without the need for in-mission supervision, reducing carbon footprint and allowing uninterrupted shore-to-shore operations for up to 15 days. HUGIN Endurance is capable of mission ranges up to 2200 km, can be fitted with a variety of sensors for different applications, and comes with the World leading KONGSBERG Sunstone inertial navigation system with HISAS micronavigation, terrain-referenced navigation, and single transponder navigation aiding for unsupervised operations.","HUGIN Endurance is the newest member of the HUGIN AUV family and enables unsupervised shore-to-shore operations over long ranges. HUGIN Endurance can be configured with a range of sensors focused on mission capabilities and situational awareness. This includes the proven hydro-acoustic instruments for mapping and inspection purposes, such as the KONGSBERG HISAS family of synthetic aperture sonars and the EM family of multibeams. Both underwater and surface awareness sensors are used for autonomous decision making. HUGIN Endurance is the largest member of the HUGIN family (Ø1.2 m, 10 m long), yet remains transportable with a standard shipping container. Utilising the latest advances in lithium-ion batteries, mission time has been extended to days and weeks. Combined with KONGSBERG’s advanced underwater navigation system Sunstone, HUGIN Endurance collects consistent, high-resolution data without the need for in-mission supervision. This level of autonomy and accuracy reduces the carbon footprint of survey operations by removing the need for a dedicated support vessel. This further mitigates health and safety concerns by relocating personnel onshore and allows the largest potential weather window for any operation. HUGIN has been continuously evolving since development began in 1991. HUGIN Endurance is a new addition to the HUGIN family of AUVs, building on 30 years of experience and providing the most capable commercial offering within the large-diameter AUV segment. HUGIN Endurance is a truly autonomous system, designed to operate for days and weeks without human intervention. Equipped with the latest generation pressure-tolerant Li-Ion battery, sensor redundancy, in-mission processing and Sunstone inertial navigation system with HISAS micronavigation, HUGIN Endurance can collect more consistent, high-quality data than any other commercially available AUV. The autonomy system controls mission execution, handles unexpected events and failure modes, and switches between redundant modes of operation. HUGIN Endurance enables low carbon shore-to-shore operations for commercial survey. The entire HUGIN family of AUVs provides the opportunity to gather more data, at high resolution and with consistent accuracy, and HUGIN Endurance adds to that with the introduction of long-range fully autonomous operations.","HUGIN Endurance is capable of mission ranges up to 2200 km, which is equivalent to the sailing distance from New York City to Cuba. It can be fitted with a variety of sensors for different applications, including HISAS1032 dual receiver and EM2040 dual receiver for accurate seabed mapping and inspection. HUGIN Endurance comes with the World leading KONGSBERG Sunstone inertial navigation system with HISAS micronavigation, terrain-referenced navigation, and single transponder navigation aiding for unsupervised operations. HUGIN Endurance uses surface awareness sensors to avoid other marine traffic during communication with the remote operating center. HUGIN Endurance supports remote operation through Kognifai, with integration with other data platforms available. Specifications are subject to change without notice.",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/autonomous-underwater-vehicle-hugin-endurance/,"Seafloor mapping, Surveillance & monitoring, Naval, Geophysical survey, Autonomous and uncrewed solutions"
"Autonomous Underwater Vehicle, HUGIN Superior",https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/hugin-superior.pdf," - Feature 1: Lorem ipsum dolor sit amet, consectetur adipiscing elit. - Feature 2: Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. - Feature 3: Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. But the product also offers some additional value Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.", - Category: Lorem ipsum dolor sit amet - Parameter: consectetur adipiscing elit Value: Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua - Category: Ut enim ad minim veniam Parameter: quis nostrud exercitation Value: ullamco laboris nisi ut aliquip ex ea commodo consequat,https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin-superior/,"Seafloor mapping, Surveillance & monitoring, Naval, Geophysical survey, Autonomous and uncrewed solutions"
Blue Insight,https://www.kongsberg.com/contentassets/88df0cc7b3574a0ab3d1d0d560fae99b/datasheet_blueinsight.pdf,"• One-stop solution that provides real-time overview across platforms and data types
• Flexible and scalable, suitable for both small and large organizations
• Open ecosystem building on FAIR data principles
• Allows for deployment of customized machine learning algorithms
• Cyber-secure solution","Kongsberg Blue Insight is a digital infrastructure product designed to meet the increasing demand for accurate ocean data. It facilitates data acquisition, fusion, processing, visualization, contextualization, and management, offering modern data processing and machine learning. The product automates the data stream from a wide range of sensors and platform types, visualizing them in a common framework. Through its dedicated modules, Blue Insight provides flexibility, security, and robustness required by any ocean data stakeholder, whether scientific, observational, or commercial. It offers real-time overview across platforms and data types and is suitable for both small and large organizations. The product also builds on FAIR data principles and allows for the deployment of customized machine learning algorithms. It is a cyber-secure solution.",I don't know,https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/,"Cloud solution, Underwater navigation & positioning"
Core,https://www.kongsberg.com/contentassets/1dfb2762fb3f43749e0333e48174a49f/datasheet_blueinsight.pdf,"• One-stop solution that provides real-time overview across platforms and data types • Flexible and scalable, suitable for both small and large organizations • Open ecosystem building on FAIR data principles • Allows for deployment of customized machine learning algorithms • Cyber secure solution","Kongsberg Blue Insight is a digital infrastructure product designed for seamless data acquisition, fusion, processing, and visualization of ocean data. It automates the data stream from a wide range of sensors and platform types, providing a common framework for visualizing the data. The solution facilitates modern data processing and machine learning, offering flexibility, security, and robustness required by any ocean data stakeholder. This open and flexible digital infrastructure product meets the increasing demand for accurate information from the oceans, focusing on internet security and seamless integration.",I don't know,https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/core/,Cloud solution
DGPS / DGNSS reference and monitoring stations,,,,,https://www.kongsberg.com/maritime/products/onshore/onshore-systems/dgps-dgnss-reference-and-monitoring-stations/,Surface navigation & positioning
Data forwarder,https://www.kongsberg.com/contentassets/688f970054854477a22ca6e844eaed11/datasheet_blueinsight.pdf,"• One-stop solution that provides real-time overview across platforms and data types
• Flexible and scalable, suitable for both small and large organizations
• Open ecosystem building on FAIR data principles
• Allows for deployment of customized machine learning algorithms
• Cyber secure solution","Kongsberg Blue Insight is an open and flexible digital infrastructure product designed to meet the increasing demand for accurate information from the oceans, focusing on internet security and seamless integration. The Blue Insight automates the data stream from a wide range of sensors and platform types and visualizes them in a common framework. It provides real-time overview across platforms and data types, offering flexibility, security, and robustness required by any ocean data stakeholder. Through a range of dedicated modules, Blue Insight offers flexibility, security, and robustness required by any ocean data stakeholder, be it scientific, observational, or commercial. The solution facilitates modern data processing and machine learning, providing new understanding and in-depth knowledge.",I don't know,https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/data-forwarder/,Cloud solution
Domed Scanning Sonar,,Key Features: - Patented acoustic lens design - Maintains beam focus through operational temperature and depth changes - Significantly improves sonar performance - Available in a 4000M depth-rated version,"Domed Sonar Background: In the 1990s, designers enclosed the transducer in an oil-filled dome to provide mechanical protection and eliminate flooding due to O-ring failure on the traditional exposed transducer shaft. While the oil-filled dome solved the O-ring flooding failures, it introduced beam defocusing in two conditions, warm & shallow and cold & deep. Our engineers solved this problem by designing a patented acoustic lens that maintains beam focus through operational temperature and depth changes, significantly improving sonar performance and resulting in images that are much sharper. Clariscan is currently available in a 4000M depth-rated version. Applications: Clariscan is suitable for obstacle avoidance, pipeline survey, target detection, and underwater construction support. Data Comparison: Deep water testing in the Gulf of Mexico clearly showed the difference in image quality between the Clariscan sonar head and the standard domed sonar with composite transducer.",I don't know,https://www.kongsberg.com/maritime/products/marine-robotics/underwater-vehicle-instruments/single-beam-scanning-sonars/domed-scanning-sonar/,Surveillance & monitoring
Dual Axis Scanning Sonar ,https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/das-system-dual-axis-scanning-sonar.pdf,"• Designed for long-term deployment in harsh conditions
• Operates single or multiple DAS heads
• Covers large areas
• Outputs a 3D profile-point digital data string
• Operates with the MS1000 software or in ‘standalone mode’ to monitor offshore wind-turbine scour detection, underwater bridge substructure and dock inspections, dam and water intake surveys","The Dual-Axis Scanning (DAS) Sonar is a profiling system designed for long-term seabed or structure monitoring. This scanning sonar works with both the MS1000 software program or in offshore wind “standalone mode” where the data is logged in the head and transmitted to shore via cable or wireless telemetry. The continuous 3D-surveying capability of the DAS provides crucial information on the dynamics of sediment scour and aggregation, and its rugged design is ideal for deployment on structures in high-current or harsh offshore environments. The DAS outputs an X, Y, Z serial data string of profile points that can be processed by many digital terrain modeling software packages including Kongsberg VistaGround and EIVA NaviSuite Edulis (specific to scour monitoring). The sonar head is designed primarily for pole-mount deployment and can be used in standalone mode or with the MS1000 processing software on a PC. A single or multiple heads can be integrated into a system to monitor a large area. The sonar can operate in standalone mode using pre-defined configurations and interface with other third-party equipment installed in remote locations. Alternatively, in MS1000 Mode, the processing software operates the sonar with data visualization on screen and recorded for further processing, with all MS1000 Standard Edition capabilities enabled.","Pole-Mount Deployment, X, Y, Z Serial Data Output, Support for Kongsberg VistaGround and EIVA NaviSuite Edulis Software, MS1000 Processing Software Operation",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/sonars/sonars-for-marine-site-inspection/DAS/,Surveillance & monitoring
EA440 - shallow and medium waters,,,,,https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/EA440/,"Seafloor mapping, Geophysical survey"
EA640 - full ocean depths,https://www.kongsberg.com/contentassets/3fa11659a3d3438586f6349d5b122f0c/407202c-ea640-datasheet.pdf," - Applications from extreme shallow to full ocean depths
 - High performance in all water depths
 - Wideband transceiver unit operates with transducers ranging from 12 kHz to 500 kHz
 - Reliable high-precision depth determination
 - World-class bottom detection algorithms
 - True raw data logging
 - Sound velocity compensation
 - Spectrum information display
 - Windows 10 operating system
 - Wide band frequency sweep with advanced signal processing
 - User-friendly and intuitive software
 - Internal storage of all raw sample data
 - Geographical map display
 - Range of performance pulse lengths and precision","The EA640 wideband hydrographic echo sounder is designed for applications ranging from extreme shallow to full ocean depths. It offers high performance in all water depths, from very shallow to full ocean depths, utilizing the WBT wideband transceiver unit that operates with transducers ranging from 12 kHz to 500 kHz. The EA640 ensures reliable high-precision depth determination and provides bottom slope information, along with world-class bottom detection algorithms. It also features true raw data logging, sound velocity compensation, and a spectrum information display. The EA640 operates with the Windows 10 operating system and is powered by a 12-15 VDC power supply, offering a wide band frequency sweep in combination with advanced signal processing for an exceptionally good signal to noise ratio and range resolution. The EA640 software is user-friendly and intuitive, providing options to set up the display according to specific needs and offering internal storage of all raw sample data. The map display feature provides a geographical view of the vessel, tracks, and sidescan coverage if applicable, and the system setup option offers a range of performance pulse lengths and precision.","Performance Pulse length and precision: - 500 kHz: CW 32 to 512 μs, 0.3 cm - 200 kHz: CW 64 to 1024 μs, 0.6 cm - Display range: 1 to 12,500 m - Transducer range: 30 to 500 kHz - High power range: 2 to 50 kHz
Sound speed: Manual (1400 to 1700 m/s), calculated from temperature and salinity, from sound velocity probe
Interfaces: Transceiver - Ethernet communication, Ethernet to ship’s network, Sensors - GPS, gyro, motion, speed, temperature, and sound speed
User interfaces: Operating system - Windows 10, Main control - Mouse, trackball or touch screen on a comprehensive menu system, Menu languages - English, Norwegian, Korean, Spanish, French, Icelandic, Italian, Danish, Russian, Japanese, Traditional Chinese, Simplified Chinese, Polish, Greek, Turkish, Vietnamese, Swedish, Bangla
Wideband transceiver (WBT): Supported output - NMEA (DBS, DBP, DPT), formats - Raw data, XTF, SEG-Y, XYZ, Echogram, EA400, Marker, and Parameters
WBT weight and dimensions: Width - 438 mm, Height - 84 mm, Depth - 213 mm, Weight - 5 kg
Power specifications: Voltage requirement - 12 to 15 VDC, 5A, Operational temperature - 0 to 50°C, Storage temperature - -40 to 70°C, Relative humidity - 5 to 95% relative non-condensing",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/ea640/,"Seafloor mapping, Geophysical survey"
EK Mission Planner,,"Control of all necessary parameters needed to program a mission plan, The mission plan is set by programming in Ping Groups, Ping Group Libraries, Phases, and Ensembles, License-free software","The EK mission planner is designed to be a planning and programming tool for autonomous echo sounders like Simrad WBAT and Simrad WBT Mini. It allows you to set up all necessary parameters related to 'wakeup' and 'sleep' times, transmission modes, intervals, and other parameters. The planner enables you to upload all the carefully planned settings to the transceiver. In addition to running a predefine schedule, the EK Mission Planner allows defining ping configurations and control transmissions from an external source using the 'interactive mode'. This mode also enables real-time reading of key information. When making a mission plan, the process involves selecting the transducers, defining ping groups, configuring deployment duration, and setting ensembles. After completing the planning steps, you can connect to the transceiver, send the mission plan, and deploy.",I don't know,https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/ekmp/,Ocean science
EK80 Portable,https://www.simrad.online/ek80/sales/ek80p_ds_en_a4.pdf,"Key features of the Simrad EK80 Portable include:
- Ready to use
- Integrated computer and display
- Integrated GPS receiver
- Integrated WiFi
- A member of the Simrad EK80 wideband echo sounder family
- Rugged and compact design
- Splash Proof
- Four independent channels with built-in multiplexing available
- Built-in calibration tool
- Wide range of transducers available","The Simrad EK80 Portable is a complete wide-band echo sounder system designed for scientific use. It features a compact PC, echo sounder, and GPS, all housed in a rugged, all-in-one solution. With built-in WiFi capability, the system can be conveniently controlled and operated from any handheld device or laptop. This compact solution is suitable for deployment from small vessels in rough environments, and its integrated computer running the EK80 echo sounder software provides all the necessary functionality. The system is compatible with various Simrad echo sounder transducers and offers a selection of EK80 licenses based on frequency band. Its rugged and compact design, along with its splash-proof cabinet, make it easy to handle and quick to deploy. The EK80 Portable is suitable for a variety of applications such as marine and freshwater environments, portable setup, mobile surveys from small boats, as well as fixed location fish counting in rivers, and monitoring fish passage at hydropower dams. Additionally, it is well-suited for habitat mapping and plankton studies.","Environmental requirements:
- Operational temperature: 0 to 45 °C
- Storage temperature: -20 to 70 °C
- Ingress protection (IP) rating with lid closed: IP64
- Ingress protection (IP) rating with lid open: IP60
- Enclosure material: Polypropylene
Performance specifications:
- CPU: Intel Gen4 Core i5-4010U 1.7GHz
- Storage: Samsung 850 Pro SSD series 256GB
- Memory: 8GB DDR3L-1600 SO-DIMM
- Graphics: Intel HD5000
- Display resolution: 1024 x 600
- Display size: 7”
- Number of USB Ports: 2
- Frequency range: 30 – 500 kHz
- Pulse duration: 64 – 2048 µs
- Pulse forms: CW + FM (Linear up-sweep)
- Maximum transmit power: 1000 W @ 55 Ω
- Number of channels: 4 (With multiplexer: 8)
- Transducer options: Single beam/Split beam
Weight and outline dimensions:
- Outline dimensions: Depth: 221 mm, Width: 417 mm, Height: 334 mm
- Weight: 8.6 kg
Power requirements:
- Voltage requirement: 12 – 16 VDC
- Power consumption: Active: 38 / 120 / 333 kHz: 22 / 19 / 19 W (*)  Passive: 18 W
- Maximum current: 5A (Peak)
External connectors:
- The top transducer connector is the main connector.
- The lower transducer connector is for multiplexing. Power Transducer 8-pin Connector type: Conxall 4 pin male Mini-Con-X Connector type: MacArtney female MCBH8F
- Seen towards the connector System drawing with internal components 429641/ Rev. B / December 2019",https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/sci_es_transceivers/ek80p/,"Fish finding, Ocean science, Geophysical survey"
EK80 Portable entry,https://www.simrad.online/ek80/sales/ek80p_flyer.pdf,"Key Features: - Rugged echo sounder with built-in computer, GPS, and WiFi - WBT Mini compact EK80 wideband transceiver with four channels - Echoview post-processing module for fish survey analysis - ES38-18/200-18 dual frequency transducer combining 38 and 200 kHz in one housing - Upgrade options for additional configurations and training support","The Simrad EK80 Portable entry is a complete solution for scientific echo sounding and ecosystem monitoring. It provides rugged echo sounding capabilities with a built-in computer, GPS, and WiFi for remote operation, all at a reasonable price. The core of the product is the WBT Mini, a compact EK80 wideband transceiver with four channels. The Entry bundle utilizes three channels for the 38 kHz split beam and one channel for the 200 kHz single beam. Additionally, the Echoview post-processing module offers traditional fish survey analysis, including measurement of biomass and size distribution, species separation, ecosystem mapping, and habitat classification. The license for Echoview software is included and can import data only from the EK80 Portable entry, with three months of maintenance and technical support provided. The Simrad EK80 Portable entry is provided with the ES38-18/200-18 dual frequency transducer, ideal for mapping ecosystem components and separating fish from plankton.",I don't know,https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/sci_es_transceivers/ek80-portable-entry/,"Fish finding, Ocean science, Geophysical survey"
