Product_Name,Product category,Application / use ,url,new_tags,tags_dict,tags,image_url
cNODE Mini - Transponder,Autonomous and uncrewed solutions," Side Scan Sonars, Multibeam Sonar, Sub-bottom Profilers, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/transponder-mini/,"{
  ""tags"": [""underwater transponder"", ""sonar positioning"", ""miniature"", ""marine technology"", ""subsea navigation""]
}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
  ""tags"": ""transponder, acoustic communication, underwater_navigation, marine research""
}","https://www.kongsberg.com/contentassets/12a9b4b1034b4d298c5ff1b7b3ce3da6/cnode-mini-700x130.jpg?width=500&rxy=0.5,0.5"
cNODE Explorer - Transponder,Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Side Scan Sonars, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cnode-explorer---transponder/,"{""tags"": [""underwater positioning"", ""acoustic transponder"", ""wideband signaling"", ""FSK signaling"", ""telemetry capability""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""transponder, acoustic communication, underwater_navigation, marine research""
}","https://www.kongsberg.com/contentassets/b8a5b651ef0944b990f0b530509829d4/cnode-modem-explorer-700x225.jpg?width=500&rxy=0.5,0.5"
APOS Survey - Surveyor's independent Operator Station for HiPAP,Autonomous and uncrewed solutions," Multibeam Sonar, High-Resolution Sonar, Sonar Heads, Scanning Sonar, Sub-bottom Profilers",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/apos-survey---surveyors-independent-operator-station-for-hipap/,"{
  ""tags"": [""subsea survey software"", ""HiPAP integration"", ""vessel position calculation"", ""acoustic positioning system"", ""geodetic library""]
}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""transponder, marine survey equipment, acoustic communication, underwater_navigation, marine research, Data Management""
}","https://www.kongsberg.com/contentassets/f1b704ed2cbd465fa634747480050111/apos-screen-700x346.jpg?width=500&rxy=0.5,0.5"
Sensor Fusion,Autonomous and uncrewed solutions," Data Analytics Platforms, Cloud-Based Data Management, Remote Monitoring Solutions, Survey Equipment, Data Printing",https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/sensor-fusion/,"{""tags"": [""data integration"", ""real-time visualization"", ""cloud data distribution"", ""marine sensor interface"", ""environmental monitoring""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
  ""tags"": ""sensor fusion,Data Management""
}","https://www.kongsberg.com/contentassets/fde484dd9f774093a0199bb61c967cc9/blue_insight_illustration_webheader.jpg?width=1500&rxy=0.5,0.5"
Data forwarder,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/data-forwarder/,"{""tags"": [""cloud data conversion"", ""data sharing"", ""automated data forwarding"", ""ecosystem data integration"", ""B2B cloud integration""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""transponder, Software, acoustic communication, Data Management""
}","https://www.kongsberg.com/contentassets/3c6c2d9d8d384e89adba6af22a792593/blue_insight_illustration_webheader.jpg?width=1500&rxy=0.5,0.5"
Sensor remote,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/sensor-remote/,"{""tags"": [""remote sensor control"", ""web interface"", ""cloud integration"", ""data visualization"", ""marine technology""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
  ""tags"": ""transponder, acoustic communication, sensor fusion, underwater_navigation, marine research, environmental monitoring""
}","https://www.kongsberg.com/contentassets/86a9177bf6504de7ac77f4726baa03ad/blue_insight_illustration_webheader.jpg?width=1500&rxy=0.5,0.5"
Analytics,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/analytics/,"{
  ""tags"": [""data analysis"", ""machine learning"", ""ocean data"", ""automated classification"", ""remote deployment""]
}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""Software, machine learning, Data Management""
}","https://www.kongsberg.com/contentassets/b26de616851340b1a38ba5a296e083fe/blue_insight_illustration_1601x674.jpg?width=1500&rxy=0.5,0.5"
Core,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/core/,"{""tags"": [""IoT Integration"", ""Data Management"", ""Cloud Computing"", ""Cyber Security"", ""Visualization Tools""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""Selected Tags"": ""transponder, acoustic communication, underwater_navigation""
}","https://www.kongsberg.com/contentassets/6ef498b8d5c34185bb16baa0b782e05f/blue_insight_illustration_webheader.jpg?width=1500&rxy=0.5,0.5"
Vessel Motion Monitor,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/vessel-reference-systems/motion-and-heading-sensors/vessel-motion-monitor/,"{""tags"": [""marine navigation"", ""motion monitoring"", ""sensor data analysis"", ""data recording"", ""vessel monitoring system""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
  ""tags"": ""marine survey equipment, sensor fusion, Data Management, environmental monitoring""
}","https://www.kongsberg.com/contentassets/92827e5945524910b20d71459ec32d0d/vmm-mainview2.jpg?width=1500&rxy=0.5,0.5"
Helideck Monitoring System,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/vessel-reference-systems/motion-and-heading-sensors/helideck-monitoring-system/,"{""tags"": [""MRU"", ""Marine Navigation"", ""Weather Data Acquisition"", ""Motion Sensing"", ""CAAi Approved""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""marine survey equipment, sensor fusion, Data Management, environmental monitoring""
}","https://www.kongsberg.com/contentassets/9c25e9803d294f3f883e8ff4dc2005ab/top-banner_hms_1348x605_nogrid.jpg?width=1500&rxy=0.5,0.5"
Motion Reference Unit,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/vessel-reference-systems/motion-and-heading-sensors/mru/,"{""tags"": [""marine technology"", ""motion sensor"", ""attitude determination"", ""dynamic environment"", ""MEMS gyroscopes""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""marine survey equipment, sensor fusion, underwater_navigation, Data Management""
}","https://www.kongsberg.com/contentassets/558a9f6ec74f4940be431a884a48e8b3/mru_family.jpg?width=1500&rxy=0.5,0.5"
DGPS / DGNSS reference and monitoring stations,Autonomous and uncrewed solutions," Scanning Sonar, Underwater Mapping Systems, Acoustic Modems, Multibeam Sonar, Side Scan Sonars",https://www.kongsberg.com/maritime/products/onshore/onshore-systems/dgps-dgnss-reference-and-monitoring-stations/,"{""tags"": [""GNSS receiver"", ""19-inch rack module"", ""RTCM corrections"", ""remote monitoring"", ""post-processing""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""marine survey equipment, Data Management, environmental monitoring""
}","https://www.kongsberg.com/contentassets/8039f9fac52648a582303797c701660d/ims500-1020x354.jpg?width=500&rxy=0.5,0.5"
"Autonomous Underwater Vehicle, REMUS 600",Autonomous and uncrewed solutions," Sonar Heads, Multibeam Sonar, Portable Hydrographic System, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-remus-600/,"{
  ""tags"": [""AUV"", ""underwater drone"", ""submersible robot"", ""marine exploration"", ""REMUS""]
}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""transponder, Autonomous Echo Sounders Programming, marine survey equipment, acoustic communication, 3D sonar sensing, sensor fusion, underwater_navigation, marine research, environmental monitoring""
}",https://www.feed-image-editor.com/sites/default/files/perm/wysiwyg/image_not_available.png
"Autonomous Underwater Vehicle, Seaglider",Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-seaglider/,"{
  ""tags"": [""AUV"", ""underwater drone"", ""marine exploration"", ""robotic submersible"", ""oceanography""]
}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""marine survey equipment, autonomous echo sounders programming, acoustic communication, 3D sonar sensing, sensor fusion, underwater_navigation, marine research, environmental monitoring""
}",https://www.feed-image-editor.com/sites/default/files/perm/wysiwyg/image_not_available.png
"Autonomous Underwater Vehicle, REMUS 100",Autonomous and uncrewed solutions," Survey Vessel, Multibeam Sonar, Underwater Mapping Systems, Survey Equipment, Remote Monitoring Solutions",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-remus-100/,"{
  ""tags"": [""underwater drone"", ""AUV"", ""marine research"", ""remote operated"", ""submersible robot""]
}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""transponder, Autonomous Echo Sounders Programming, marine survey equipment, acoustic communication, 3D sonar sensing, sensor fusion, underwater_navigation, marine research, environmental monitoring""
}",https://www.feed-image-editor.com/sites/default/files/perm/wysiwyg/image_not_available.png
"Autonomous Underwater Vehicle, HUGIN",Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin/,"{""tags"": [""AUV"", ""underwater exploration"", ""sonar technology"", ""marine survey"", ""remote operation""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""Autonomous Echo Sounders Programming, acoustic communication, 3D sonar sensing, sensor fusion, machine learning, underwater_navigation, marine research, environmental monitoring""
}","https://www.kongsberg.com/contentassets/4fd118849fb24dfbb271f4d9b82759e6/cimg2511_small.tif?width=1500&rxy=0.5,0.5&format=JPEG"
"Underwater Intervention Vehicle, Eelume",Autonomous and uncrewed solutions," Shallow Water Multibeam, Side Scan Sonars, Portable Hydrographic System, Survey Equipment, Multibeam Sonar",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-eelume/,"{""tags"": [""subsea_robotics"", ""underwater_inspection"", ""robotic_arm_intervention"", ""modular_underwater_vehicle"", ""subsea_maintenance""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
  ""tags"": ""transponder, marine survey equipment, acoustic communication, 3D sonar sensing, sensor fusion, machine learning, underwater_navigation, marine research, environmental monitoring""
}","https://www.kongsberg.com/contentassets/0b93c73ddca8459089c49eaa93dfedfe/eelume_produktbilde_lights_b.jpg?width=1500&rxy=0.5,0.5"
"Autonomous Underwater Vehicle, REMUS M3V",Autonomous and uncrewed solutions," Shallow Water Multibeam, Side Scan Sonars, Multibeam Sonar, Scanning Sonar, Portable Hydrographic System",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-remus-m3v/,"{
  ""tags"": [""underwater drone"", ""autonomous vehicle"", ""marine exploration"", ""submersible"", ""oceanography equipment""]
}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": [
        ""marine survey equipment"",
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""underwater_navigation"",
        ""marine research"",
        ""environmental monitoring""
    ]
}",https://www.feed-image-editor.com/sites/default/files/perm/wysiwyg/image_not_available.png
