Product_Name,Product category,Introduction,Block1,Block2,Block3,Features,Technical Specifications,url,Data sheets,downloads,product_family_name,is_range
cNODE MICRO,Underwater navigation & positioning,,,,,"Some key features of the cNODE Micro include:
• Coated Anodised aluminium housing
• Cymbal channels (500+)
• Internal rechargeable Li-Ion battery
• Acoustic telemetry for battery status and tilt sensor
• External connector for configuration, software update and charging
• SSBL and LBL positioning
• Range measurements between transponders
• 600 metre depth rating
• 180º omnidirectional beam
• Internal tilt sensor ± 90°
• Pressure relief valve (safety device)
• Frequency band 21-31 kHz
• External on/off function","DIMENSIONS: 245 x 55 mm
WEIGHT IN AIR/WATER: 1 kg/0.4 kg
DEPTH RATING: 600 m
BEAM WIDTH: 180º
SOURCE LEVEL - MAX: 170 dB
TRIGGER LEVEL: < 85 dB
OPERATING BATTERY LIFETIME: CYMBAL (Low power, 1 sec update rate) < 48 hours
RESPONDER TRIGGER SIGNAL: 5V to 25V positive logic pulse (2ms - 6ms)
EXTERNAL CONNECTOR: Seacon MC-IL-8-F (cNODE MiniS compatible)
BATTERY CHARGER INPUT VOLTAGE: 110/230 VAC",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/,https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/cnode-micro-transponder/,,cNODE Micro - Transponder,1.0
cNODE Mini - Transponder,Fish finding,,,,,"Transparent Modem function
Both transponder and responder functions
Compatible with both Cymbal acoustic protocol for positioning and data link, and HiPAP/HPR 400 channels and telemetry
Internal tilt sensor ± 90°. Accuracy ± 2°
Pressure relief valve and vent screw (safety devices)
External connector for transponder configuration and SSBL positioning
Modular design; the transducer, transponder electronics, battery pack, and optional add-ons can be replaced individually
Range measurement between transponders (typical, 1 σ standard deviation):
- Range accuracy: 0.02 m
- Repeatability: 0.01 m","Depth rating: 4000 m
Operating temperature: -5°C to +55°C
Aluminium (Alu) transponders can only consist of Aluminium modules
Stainless steel (St) transponders can only consist of Stainless steel modules
Transducers
Model TD180
Beam width: 180°
Receiver sensitivity: 100 dB
Source level - max.: 190 dB
Dimensions (L x D): 70.5 x Ø88
Model TD40V
Beam width: 40° vertical
Receiver sensitivity: 90 dB
Source level - max.: 203 dB
Dimensions (L x D): 71 x Ø100
Model TD30H
Beam width: 30° horizontal
Receiver sensitivity: 100 dB
Source level - max.: 194 dB
Dimensions (L x D): 123 x Ø77
Model TD80V
Beam width: 80° vertical
Receiver sensitivity: 85 dB
Source level - max.: 188 dB
TDR - Remote transducers for Split transponders (S)
Model TDR180
Beam width: 180°
Receiver sensitivity: 100 dB
Source level - max.: 190 dB
Dimensions (L x D): 209.8 x Ø88
TDR40V
Beam width: 40° vertical
Receiver sensitivity: 90 dB
Source level - max.: 203 dB
Dimensions (L x D): 71 x Ø100
TDR30H
Beam width: 30° horizontal
Receiver sensitivity: 100 dB
Source level - max.: 194 dB
Dimensions (L x D): 123 x Ø77
TDR30V
Beam width: 30° vertical
Receiver sensitivity: 85 dB
Source level - max.: 188 dB
Top end cap
Bottom end cap
Tube Chassis with PCB Coating: Polyurethane
Floating collar
Depth rating: 4000 m
TTC 30 - Transponder Test and Configuration unit*
Frequency band: Medium frequency (MF)",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/transponder-mini/,https://www.kongsberg.com/contentassets/d46aa1b46c7c495eacd1c70f4f768087/378499-cnode-mini-prod-spec.pdf,"{'Brochure': ['https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/405264-subsea-construction.pdf'], 'Data sheet': ['https://www.kongsberg.com/contentassets/d46aa1b46c7c495eacd1c70f4f768087/378499-cnode-mini-prod-spec.pdf'], 'Information letter': ['https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/365162_cnode_maxi_midi_mini_tp_chassis_utb.pdf', 'https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/356407_utb_jumper_settings_for_cnode_qrg.pdf'], 'Manual': ['https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/411144-cnode-mini-lf-inm.pdf', 'https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/331869_cnode_mini_instruction_manual.pdf'], 'Software release note': ['https://www.kongsberg.com/contentassets/c057b20a5e9d4956ad2007a78fdf643e/386847_d_cnode_sw_rel_note.pdf'], 'Downloads': ['https://www.kongsberg.com//contentassets/c057b20a5e9d4956ad2007a78fdf643e/386847_d_cnode_sw_rel_note.pdf']}",,
cNODE MiniS,Underwater navigation & positioning,,,,,"   - 500+ Cymbal Wideband channels   - Full telemetry frequency underwater positioning systems for precise ranging and positioning   - SSBL and LBL ranging utilizing Cymbal acoustic wideband protocol   - Fast Track functionality   - Responder mode   - Compact housing for the transponder electronics   - Rechargeable Li-Ion battery   - Compatibility with HiPAP, µPAP and cPAP   - Depth rating of 4000 m/7000 m   - RS232 Comms for setup and channel change",cNODE MiniS3x   - Frequency: 20-30 kHz (MF)   - Signal type: Cymbal wideband and FSK   - Responder and beacon mode: Yes   - Range accuracy: Better than 0.02 m   - Depth rating: 4000 m (Alu) / 7000 m (Ti)   - External power supply: 24 VDC/1 A   - Subsea connector: Seacon MCBH8M   - Housing: Aluminium / Titanium   ACCESSORIES   - Floating collar 4000 m rated   - Transit case for 2x MiniS   - Transducer guard   - TTC test unit   - Battery charger,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/,https://www.kongsberg.com/contentassets/3430e6ff5b7348c884fff37922f5aa63/407452f-cnode-minis-datasheet.pdf,,cNODE MiniS - Transponder,1.0
Combi 50/200 D,"Seafloor mapping, Geophysical survey",,,,,"50/200 kHz Combi-transducer
- Combines two transducers and one temperature sensor in a single housing
- Designed with a streamlined shape for hull mounting on small vessels
- Order number: KSV-203005","Common specications
- Nominal impedance: 75 ohms
- Maximum pulse power input: 1000 W
- Maximum continous power input: 10 W
- Cable length: 15 m
- Resonant frequency (200 kHz): 200 kHz
- Weight with cable: 8 kg
- Beamwidth longitudinal: 7 deg
- Storage temperature: -20 to 70°C
- Resonant frequency (50 kHz): 50 kHz
- Beamwidth longitudinal (50 kHz): 10 deg
- Beamwidth transverse (50 kHz): 16 deg",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/td_bottommapping/,https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/164211_50-200_combi_d.pdf,,Single beam bottom mapping transducers,1.0
Core,"Cloud solution, Underwater navigation & positioning",,,,,"• One-stop solution that provides real-time overview across platforms and data types • Flexible and scalable, suitable for both small and large organizations • Open ecosystem building on FAIR data principles • Allows for deployment of customized machine learning algorithms • Cyber secure solution",I don't know,https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/core/,https://www.kongsberg.com/contentassets/1dfb2762fb3f43749e0333e48174a49f/datasheet_blueinsight.pdf,{'Data sheet': ['https://www.kongsberg.com/contentassets/1dfb2762fb3f43749e0333e48174a49f/datasheet_blueinsight.pdf']},,
cPAP - ROV positioning in Long Base Line transponder array,Fish finding,,,,,The key features of the cPAP MK II subsea transceiver include: - 560+ Cymbal Wideband Channels - LBL positioning and tethered vehicles support - Telemetry with centimetric precision ranges and high data rates - External power supply (24 VDC) - Rechargeable battery pack for reduced peak current - Depth rating of 4000m and 6000m - Navigation software APOS for full LBL functionality - Dedicated port for NMEA commands - Choice of transducers - User control interface,"cPAP MK II Technical Specifications: Frequency: 20-30 kHz (MF); Signal type: Cymbal wideband and FSK; Range accuracy: Better than 0.02m; APOS Interface: RS232; External power supply: 24 VDC / 1 A; Depth rating: 4000m / 6000m; Housing: Aluminium / Titanium; Length x diameter (mm): 279 x Ø 79; Weight in air/water (kg): 4.2 / 2.2 (4000m) 5.8 / 3.8 (6000m); Operating temperature: -5°C to +55°C; Transducer Information: Transducer models - TDR180, TDR40V, TDR30H; Transducer beam pattern: Vertical / Vertical / Horizontal; Maximum source level: 188 dB / 203 dB / 188 dB (re 1µPa); Length x diameter (mm): 4000m - 160 x 88 / 161 x 100 / 213 x 77; Weight in air/water (kg): 4000m - 1.7 / 1.0 / 2.3 / 1.3 / 1.5 / 0.8; 6000m - 4.2 / 3.5 / 5.1 / 4.1 / 3.4 / 2.8; Order Information: Part no. / Item - 4000m Alu / 6000m St/Ti; 447900 / 475554 - cPAP MK II subsea transceiver; 349742 / 375361 - TDR180 remote transducer; 349743 / 375360 - TDR40V remote transducer; 345773 / 375359 - TDR30H remote transducer; 345772 / 6m transducer cable; 408094 - ROV interface cable, pigtail 60cm",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cPAP/,https://www.kongsberg.com/contentassets/02b1e7fdc9724b4d83eab94c01953760/470493a-cpap-mk-ii-datasheet.pdf,"{'Brochure': ['https://www.kongsberg.com/contentassets/57a857b841ea412b935571193488b6c7/405264-subsea-construction.pdf'], 'Data sheet': ['https://www.kongsberg.com/contentassets/02b1e7fdc9724b4d83eab94c01953760/470493a-cpap-mk-ii-datasheet.pdf'], 'Manual': ['https://www.kongsberg.com/contentassets/35f7acaa25ff472eb29fe68a986ef226/451992a_cpap_mkii_qrg.pdf', 'https://www.kongsberg.com/contentassets/35f7acaa25ff472eb29fe68a986ef226/447979a_cpap_inm.pdf', 'https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/cpap-subsea-transceiver-instruction-manual/'], 'Software release note': ['https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/450886_cpap_mkii_sw_rel_note.pdf', 'https://www.kongsberg.com/globalassets/maritime/snr-files/cpap/481859a-cpap-mk-ii-lf-software-release-note.pdf', 'https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/386861_cpap_sw_release_note.pdf'], 'Downloads': ['https://www.kongsberg.com//globalassets/maritime/km-products/product-documents/450886_cpap_mkii_sw_rel_note.pdf', 'https://www.kongsberg.com//globalassets/maritime/snr-files/cpap/481859a-cpap-mk-ii-lf-software-release-note.pdf', 'https://www.kongsberg.com//globalassets/maritime/km-products/product-documents/386861_cpap_sw_release_note.pdf']}",,
SD9500,"Surveillance & monitoring, Surface navigation & positioning, Autonomous and uncrewed solutions",,,,,"• Compact system, fits smaller ships
• Enhanced shallow water features
• Wide bandwidth
• Transmission modes: Omni / Hor. Sector / Vert. Sector
• Operation modes: Multi-static/Normal
• Multiple pulses simultaneously
• Inspection beams (interferometric)
• Tilt-able transmit angle
• Good vertical resolution
• Good horizontal resolution
• Electronic maps (S57 and S63)
• Built in Sound Propagation Model
• Multiple target tracking: Automatic and manual track initiation
• Recording and replay
• Alarms for objects/torpedo close to own ship
• Built In Test (BIT) system.","• Operating frequency: 70-110 kHz
• Pulse bandwidth:
Up to 10kHz
• Pulse types:
CW, HFM, LFM
• Transmission tilt angle: +15° to -60°
• Range Scale:
10m to 5000m
• Transmission modes:
- Horizontal:
Omni 360°
- Horizontal sector:
6°, 30°, 60°, 90°, 120°
- Vert. sector :
30°,60°
• Transmitting beam widths:
- Hor Omni/Sector: Vertical beam width 5° @85kHz
- Vertical sector:
Horizontal beam width 6° @85kHz
• Number of Rx beams:
- Horizontal:
- Vertical sector:
128 beams covering 360°
Up to 32 beams covering 60°
• Receiving Beam widths:
- Omni/Sector:
Horizontal single beam width 6°
@85kHz
- Omni/Sector:
Vertical single beam width 5°
@85 kHz
- Vertical sector:
Horizontal single beam width 6°
@85 kHz
- Vertical sector:
Vertical single beam width 5°
@85 kHz
• Beam stabilisation:
Yes (MRU integrated in sonar head)
• Transducer geometry: Cylindrical
• Number of channels:
- Transmitter:
- Receiver:
1024 transmitting channels
1024 receiving channels
• Presentation Views:
- Omni or sector view w/electronic map
- Vertical view
- Zoom view
- B-Scan view
- Radial velocity view
- Echogram view
- Probability of Detection (PoD) view
- Ray trace view
- Sound velocity profile view
• Operating depth:
150 m maximum",https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/sd9500-dipping-sonar-for-asw-and-volume-survey-in-littoral-waters/,,{},,
CUBELINE AIS Space Receiver ASR c50,Communication solutions,,,,,"CubeSat fit with highest performance in the market, Low power consumption, Supports reception of long-range AIS and ASM messages, Rad-tolerant by design, Dual VHF antenna support, Supports simultaneous on-board and sampling modes, Embeds VHF RF spectrum analyzer, In-orbit reconfigurable SDR design with proven heritage, Superior dynamic range","ASR c50, Frequency range: 156 to 163 MHz, Sensitivity: -126 dBm @ 20 % PER, Noise figure: 3.5 dB (nominal), Dynamic range: -126 dBm to -40 dBm @ 20% PER, Doppler shift: ± 5 kHz, AIS RF: 2x 156-163 MHz antennas input, Eb/N0 (non-colliding): 8 dB @ < 0.3 % PER, C/I (colliding): 5 dB @ < 10 %, Weight: 340 ± 30 g, Dimensions (HxLxW): 32.7 x 90.2 x 93.9 mm, Operational temperature range: -20°C to +60 °C, Memory capacity per orbit: 100 min. sampling + 100 % OBP duty cycle, Radiation: Latch-up free parts, Total dose TID verification of 8.1krad(Si)",https://www.kongsberg.com/maritime/products/onshore/space-based/ais-space-receiver/,https://www.kongsberg.com/contentassets/6a9f1eb8cd5647959847f9d32783b09a/datasheet_asr_c50.pdf,,AIS space receivers,1.0
cPAP Portable tranceivers,"Fish finding, Fish finding",,,,,I don't know,I don't know,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/support-cpap-portable-tranceivers/,https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/405264-subsea-construction.pdf,"{'Brochure': ['https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/405264-subsea-construction.pdf'], 'Manual': ['https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/374876_cpap_30_cpap_10_portable_inm.pdf']}",,
DARPS 232,Surface navigation & positioning,,,,,"Key Features:
- Combined GPS L1/L2, GLONASS L1/L2, and SBAS receiver
- Multiple differential correction support
- High-precision absolute and relative position
- Real-time compensation of errors introduced by high ionospheric activity
- Ease-of-use HMI tailored to safety-critical DP operations
- Lever arm compensation
- Can be controlled through a DP system during offshore loading
- Extended interfacing capabilities
- Multiple UHF links ensure reliable and safe operations
- Automatic data recording functionality
- GNSS heading for gyro monitoring
- HW upgradable to support Galileo and Beidou","DARPS 232 Performance Specifications:
- RTK horizontal accuracy: 1 cm + 1.6 ppm RMS
- RTK vertical accuracy: 2 cm + 3.2 ppm RMS
- XP/G2 horizontal accuracy: 10 cm, 95% CEP
- XP/G2 vertical accuracy: 15 cm, 95% CEP
- DGPS/DGLONASS position accuracy: < 1 m, 95% CEP, 0.4 m, 1
- SBAS accuracy: < 1 m, 95% CEP, 0.6 m, 1
- Velocity accuracy: 0.05 m/s, 95% CEP, 0.2 m/σs
- Relative position accuracy: 0.2 m, 95% CEP1 σ

DARPS 232 Power Specifications:
- DARPS 232 Processing Unit: 100 to 240 V AC, 50/60 Hz, max. 60 W
- DARPS 232 HMI Unit: 100 to 240 V AC, 50/60 Hz, max. 170 W
- Radio Units: 100 to 240 V AC, 50/60 Hz, max. 15 W
- GNSS antenna: 5 V DC from Processing Unit
- IALA beacon antenna: 10.2 V DC from Processing Unit

DARPS 232 Environmental Specifications:
- Operating temperature range: DARPS 232 Processing Unit -15 to +55 °C2
- Humidity: Max. 95% non-condensing

DARPS 232 Interfaces:
- Serial ports: 8 isolated ports, 6 configurable between RS-232 and RS-422
- Ethernet/LAN: 4
- USB: 3

DARPS 232 Data Outputs:
- Message formats: NMEA 0183 v 3.0, Proprietary
- Message types: ABBDP, ARABB, DPGGA, DTM, GBS, GGA, GLL, GNS, GRS, GSA, GST, GSV, PKNOR, PSKPS, PSKRB, RMC, VBW, VTG, ZDA

DARPS 232 Data Inputs:
- DGPS/DGLONASS corrections: RTCM-SC104 v 2.2, 2.3, Seastar XP, Seastar G2
- RTK corrections: RTCM-SC104 v 2.3, 3.0, 3.1 and CMR
- Gyro compass: NMEA 0183 HDT, HRC, HDM, EM3000, PSXN10, PSXN 23 and Robertson LR22 BCD format

DARPS 232 Product Standards:
- IMO regulations: MSC.112(73), MSC.113(73), MSC.114(73), MSC.115(73)
- IEC standards: IEC 61162-1, IEC 60945, IEC 61108-1
- UKOOA compliant

Weights and Dimensions:
- DARPS 232 Processing Unit: 5.4 kg, 89 mm x 485 mm x 357 mm
- DARPS HMI Unit: 3.6 kg, 44 mm x 481 mm x 267 mm
- Radio Units: 3.0 kg, 44.5 mm x 482 mm x 370 mm
- GNSS antenna: 0.5 kg, 69 mm x 185 mm
- IALA beacon antenna: 1 kg, 1000 mm
- UHF 450 antenna: 1.3 kg, 1400 mm, 6 cm max
- UHF 860 antenna: 1.4 kg, 1510 mm

Environmental Specifications:
- Operation in other locations under different conditions may produce different results.",https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/differential-absolute-relative-position-sensor/,https://www.kongsberg.com/contentassets/7162715d5e3941838b97b22c33b57aae/110-0042313a_datasheet_darps232_jun23.pdf,,GNSS-based Relative Position Sensor,1.0
DARPS 900B TELEMETRY,Surface navigation & positioning,,,,,"Key Features:
- Reliable two-way communication using two separate controllers with UHF at different frequencies in parallel
- Robust against in-band interference due to specialized communication protocol with low latency
- Exclusive 'one-to-one' communication links established between FPSO and SHT
- Unique ID ensures integrity
- Well-marked Emergency Stop switch
- Supports both analogue and digital interface to external equipment
- Easy installation and maintenance
- Ease of operation with 2-line display and keypad, limited operator training needed
- Flexible configuration
- 'Green-line' status can be monitored on a portable solution
- ANATEL approved","Technical Specifications:
- Interface Specifications: Serial ports 1 x RS-232 Controller module, 2 x RS-232 galvanically isolated with common ground, rear mounted; Network 1 connection, rear mounted; USB 1 connection, front mounted; Controller module Operating temperature -15 °C to +55 °C; Operating humidity Max. 95%; Weight and Outline Dimensions: Width, height, depth 485 x 44 x 348 mm (incl. mounting bracket), Weight 3 kg; Radio Frequency Specifications: Frequency Range MB 45 450 to 470 MHz, Channel spacing 12.5 kHz, Sensitivity <-115 dBm for BER=10^-5; Weight and Outline Dimensions of SeaGnal MB45: Width, height, depth 485 x 44 x 348 mm (incl. mounting bracket), Weight 3 kg, Voltage 100 to 240 VAC, 50/60 Hz, Power consumption 7 W (typical); Product Standards: Electrical safety IEC 61010-1/EN 61010-1, Electromagnetic compatibility IEC 60945/EN 60945, Radio spectrum matters ETSI EN 300 220-1 v2.4.1, ETSI EN 300 220-2 v2.4.1, Standards Anatel, Australia, and Russia, Encryption: This product contains no encryption.",https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/differential-absolute-relative-position-sensor/,https://www.kongsberg.com/contentassets/7162715d5e3941838b97b22c33b57aae/datasheet_darps900b.pdf,,GNSS-based Relative Position Sensor,1.0
Data forwarder,"Underwater navigation & positioning, Communication solutions",,,,,"• One-stop solution that provides real-time overview across platforms and data types
• Flexible and scalable, suitable for both small and large organizations
• Open ecosystem building on FAIR data principles
• Allows for deployment of customized machine learning algorithms
• Cyber secure solution",I don't know,https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/data-forwarder/,https://www.kongsberg.com/contentassets/688f970054854477a22ca6e844eaed11/datasheet_blueinsight.pdf,{'Data sheet': ['https://www.kongsberg.com/contentassets/688f970054854477a22ca6e844eaed11/datasheet_blueinsight.pdf']},,
Domed Scanning Sonar,"Underwater navigation & positioning, Communication solutions",,,,,Key Features: - Patented acoustic lens design - Maintains beam focus through operational temperature and depth changes - Significantly improves sonar performance - Available in a 4000M depth-rated version,I don't know,https://www.kongsberg.com/maritime/products/marine-robotics/underwater-vehicle-instruments/single-beam-scanning-sonars/domed-scanning-sonar/,,"{'Application note': ['https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/low-cost-search-amp-recovery-scanning-sonar-system/'], 'Brochure': [], 'Related publications': ['https://www.mesotech.online/domed_sonar/documents.htm'], 'Software Download': [], 'Downloads': ['https://www.kongsberg.com//maritime/products/ocean-science/mapping-systems/sonars/sonars-for-marine-site-inspection/DAS/']}",,
DPS 112,Surface navigation & positioning,,,,,"• Combined GPS L1/L2, GLONASS L1/L2 and SBAS receiver
• IALA beacon capability
• Built-in L-band receiver with Fugro Seastar G2 capability
• Optional standard RTCM correction input
• Easy software updates via USB
• Ethernet interface
• Embedded keypad and display
• Configurable output for external interfaces
• External display unit (optional)
• DPS Display Unit (optional)","Seastar G2 service, DGPS/DGLONASS accuracy, SBAS accuracy, Velocity accuracy, Output rate, Performance Weight and Dimensions, Power Specifications, Interfaces, Data Outputs, Data Inputs, Environmental Specifications, Mechanical Vibration, Electromagnetic Compatibility, Product Safety",https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/dps/,https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dps112.pdf,,GNSS/DGNSS Position Sensors,1.0
DPS 114,Surface navigation & positioning,,,,,"Key Features: - Multi-frequency GPS, GLONASS, Galileo, Beidouand SBAS receiver - IALA beacon capability - Built-in L-band receiver with Fugro Seastar G4 capability - Optional standard RTCM correction input - Easy software updates via USB - Ethernet interface DPS 114ESC ENTER - Embedded keypad and display - Configurable output for external interfaces - External display unit (optional) RTCM corrections","Technical Specifications: PERFORMANCE - Seastar G4 service: 10 cm, 95 % CEP - DGPS/DGLONASS accuracy: < 1 m, 95 % CEP - SBAS accuracy: < 1 m, 95 % CEP - Velocity accuracy: < 0.05 m/s, 95 % CEP - Output rate: 1 Hz WEIGHT AND DIMENSIONS - DPS 114 unit: 5.8 kg, 89 mm x 444 mm x 357 mm - GNSS antenna: 0.5 kg, 69 mm x 185 mm - IALA antenna: 0.78 kg, 870 mm - Spotbeam antenna: 1.4 kg, 96 mm x 150 mm POWER SPECIFICATIONS - DPS 114 unit: 100 - 240 V AC 50/60 Hz, max 60 W - GNSS antenna: 5 V DC from processing unit - IALA antenna: 10.2 V DC from processing unit - Spotbeam antenna: 12 V DC from processing unit INTERFACES - Serial ports: 3 serial ports (2 NMEA output, 1 RTCM input), RS-232 or RS-422 (galvanically isolated) - Ethernet/LAN: 1 - USB: 3 ENVIRONMENTAL SPECIFICATIONS - Operating temperature range: DPS 114 unit -15 to +55 °C*, GNSS antenna -40 to +85 °C, IALA antenna -55 to +70 °C, Spotbeam antenna -30 to +70 °C *) Recommended +5 to +40 °C - Humidity: Max. 95 % non-condensing",https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/dps/,https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dps114.pdf,,GNSS/DGNSS Position Sensors,1.0
DPS 5D,Surface navigation & positioning,,,,,"• Combined GPS L1/L2/L5, GLONASS L1/L2, Beidou B1/B2, Galileo E1/E5and SBAS receivers
• Multi-receiver solution with IMU integration
• Dual frequency ionospheric compensation
• Supports multiple high precision correction sources
• Simultaneous integration of multiple correction signals (highprecision services, standard RTCM corrections, SBAS and IALA)
• GNSS based heading
• High precision lever arm compensation
• Extended interfacing capabilities (DP, gyro, AIS, ROV)
• Easy-to-use HMI tailored to safety critical DP operations
• Automatic data recording with replay functionality
• Skyplot with satellite prediction and shadow sectors
• Target monitoring and Speed view
• Electronic chart/seabed maps with Electronic Bearing Line(EBL)","PERFORMANCE
RTK 1 cm + 1.6 ppm RMS
High precision accuracy 10 cm, 95 % CEP
DGNSS < 1 m, 95 % CEP
SBAS accuracy < 1 m, 95 % CEP
Velocity accuracy < 0.01 m/s, 95 % CEP
Accuracy roll, pitch (for ±5° amplitude) 0.01° RMS
Update frequency rate 1 to 20 Hz
Latency < 1 ms
POWER SPECIFICATIONS
DPS 5D Processing Unit 100 - 240 V AC, 50/60 Hz, max 75 W
DPS 5D HMI Unit 100 - 240 V AC, 50/60 Hz, max 40 W
GNSS antennas 5 V DC from Processing Unit
IALA beacon antenna 10.2 V DC from Processing Unit
ENVIRONMENTAL SPECIFICATIONS
Operating temperature range
DPS 5D Processing Unit -15 to +55 ºC (*)
DPS 5D HMI Unit -15 to +55 ºC (*)
GNSS antennas -40 to +85 ºC
IALA beacon antenna -55 to +55 ºC
Recommended +5 to +40 ºC
Humidity
DPS 5D Processing Unit Max 95 % non-condensing
DPS 5D HMI Unit Max 95 % non-condensing
GNSS antennas IP66
IALA beacon antenna IP66
Vibration IEC 60945/EN 60945
Electromagnetic compatibility
Compliance to EMCD, immunity/emission IEC 60945/EN 60945
Product safety
Compliance to LVD, IEC 61010-1/EN 61010-1
PRODUCT STANDARDS
NMEA 0183 HEHDT, HEHRC, IMO regulations MSC.112(73), HETHS and Robertson LR22 BCD MSC.113(73) format MSC.114(73) MSC.115(73)
IEC standards IEC 61108-1, IEC 61162-1, IEC 60945
UKOOA compliant
WEIGHTS AND DIMENSIONS
DPS 5D Processing Unit 5.4 kg, 89 x 485 x 357 mm
DPS 5D HMI Unit 3.8 kg, 44 x 485 x 330 mm
GNSS antennas 0.5 kg, 69 mm x 185 mm
IALA beacon antenna 1 kg, 1000 mm
Specifications subject to change without any further notice.",https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/dps/,https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dps5d.pdf,,GNSS/DGNSS Position Sensors,1.0
DPS DISPLAY UNIT,Surface navigation & positioning,,,,,"Quick installation, Easy operation, 10-inch maritime panel with touch display","WEIGHTS AND DIMENSIONS, Depth: 36.4 mm, Height: 197.8 mm, Width: 252.4 mm, Weight: 1.6 kg, POWER, Supply voltage: 18-32 V DC, Power consumption: 11 W @ 24 V DC (50% brightness), 14 W @ 24 V DC (100% brightness), ENVIRONMENTAL SPECIFICATIONS, Operational temperature range: -10°C - +55°C, Enclosure material: Die cast and painted aluminium, Enclosure protections: IP 56 as console or flush mount, IP 22 as VESA mount",https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/dps/,https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dpsdisplayunit.pdf,,GNSS/DGNSS Position Sensors,1.0
DPS i1,Surface navigation & positioning,,,,,"DPS i1 - Key Features: • Utilises Fugro Seastar™ G4 service for world wide decimeter accuracy • Utilises GPS, Glonass, Galileo and BeiDou for enhanced satellite coverage • Uses regional SBAS and local DGNSS services for enhanced operational availability • Built-in display for easy system configuration and status monitoring • External display unit available for DP operations • Cost efficient DGNSS solution with meter-level position accuracy and the possibility of decimeter accuracy","DPS i1 - Technical Specifications: PERFORMANCE WEIGHT AND DIMENSIONS - Seastar G4 service: 10 cm, 95 % CEP - DPS i1 unit: 6.3 kg, 89 mm x 444 mm x 357 mm - GNSS antenna: 0.5 kg, 69 mm x 185 mm - IALA antenna: 0.78 kg, 870 mm - DGNSS antenna: 1.4 kg, 91 mm x 152 mm POWER SPECIFICATIONS INTERFACES - Operating temperature range: DPS i1 unit -15 to +55 °C*, GNSS antenna -40 to +85 °C, IALA antenna -55 to +70 °C, DGNSS antenna -45 to +70 °C - Humidity: Max. 95 % non-condensing - Mechanical Vibration: IEC 60945/EN 60945, IACS E10 - Electromagnetic compatibility: Compliance to EMC, immunity/emission IEC 60945/EN 60945, IACS E10 - Compliance to Article 3.2, standards used: ETSI EN 303 413 V1.2.1 (2021-04), ETSI EN 300 330 V2.1.1 (2017-02) - Compliance to LVD, standard used: IEC 61010-1/EN 61010-1 Specifications subject to change without any further notice.",https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/dps/,https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dpsi1_aug22.pdf,,GNSS/DGNSS Position Sensors,1.0
