,Product_Name,Product category,Application / use ,url,new_tags
,Analytics,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/analytics/,"machine learning, data analysis, quality assurance, remote deployment, technical support"
,Core,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/core/,"Cloud framework, Cyber security, Data management, Advanced data accessibility, Technical support."
,Vessel Motion Monitor,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/vessel-reference-systems/motion-and-heading-sensors/vessel-motion-monitor/,"motion monitoring, sensor interfacing, statistical analysis, alarm and warning limits, extensive recording functionality"
,Helideck Monitoring System,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/vessel-reference-systems/motion-and-heading-sensors/helideck-monitoring-system/,"helicopter landing safety, motion analysis, weather conditions, offshore vessels, compliance with regulations"
,Motion Reference Unit,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/vessel-reference-systems/motion-and-heading-sensors/mru/,"motion reference unit, marine motion sensor, attitude determination, motion compensation, solid-state gyros, high reliability"
,DGPS / DGNSS reference and monitoring stations,Autonomous and uncrewed solutions," Scanning Sonar, Underwater Mapping Systems, Acoustic Modems, Multibeam Sonar, Side Scan Sonars",https://www.kongsberg.com/maritime/products/onshore/onshore-systems/dgps-dgnss-reference-and-monitoring-stations/,"DGPS, DGNSS, reference station, monitoring station, GNSS receiver"
,DGPS / DGNSS reference and monitoring stations,Autonomous and uncrewed solutions," Scanning Sonar, Underwater Mapping Systems, Acoustic Modems, Multibeam Sonar, Side Scan Sonars",https://www.kongsberg.com/discovery/products/onshore-space-based-systems/onshore-systems/dgps--dgnss-reference-and-monitoring-stations/,"DGPS, DGNSS, reference station, monitoring station, GNSS receiver"
,"Autonomous Underwater Vehicle, REMUS 600",Autonomous and uncrewed solutions," Sonar Heads, Multibeam Sonar, Portable Hydrographic System, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-remus-600/,"Underwater exploration, Marine technology, Remote sensing, Ocean mapping, Subsea operations."
,"Autonomous Underwater Vehicle, Seaglider",Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-seaglider/,"Underwater exploration, Remote operation, Oceanic research, Marine technology, Unmanned vehicles."
,"Autonomous Underwater Vehicle, REMUS 100",Autonomous and uncrewed solutions," Survey Vessel, Multibeam Sonar, Underwater Mapping Systems, Survey Equipment, Remote Monitoring Solutions",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-remus-100/,"Underwater exploration, Marine technology, Remote sensing, Ocean mapping, Underwater surveillance."
,"Autonomous Underwater Vehicle, HUGIN",Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin/,"autonomous underwater vehicle, marine robot, subsea survey, hydrodynamic shape, high accuracy, manoeuvrability, battery capacity, depth ratings, payload configurations, oceanography, environmental monitoring, underwater resource studies, navy applications, commercial applications, seabed mapping, geophysical site inspection, pipeline inspection, oceanographic surveys, marine geological survey, mine countermeasures, rapid environmental assessment, intelligence surveillance and reconnaissance, payload sensors, acoustic communication links, real-time communication, autonomous mission, semi-autonomous mission, supervised mission, modular configuration, operator station, 24/7 technical support, conversions and retrofitting, training, NavLab."
,"Underwater Intervention Vehicle, Eelume",Autonomous and uncrewed solutions," Shallow Water Multibeam, Side Scan Sonars, Portable Hydrographic System, Survey Equipment, Multibeam Sonar",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-eelume/,"Underwater robotics, Subsea inspection, Maintenance and repair, Flexible body, Sensor-equipped."
,"Autonomous Underwater Vehicle, REMUS M3V",Autonomous and uncrewed solutions," Shallow Water Multibeam, Side Scan Sonars, Multibeam Sonar, Scanning Sonar, Portable Hydrographic System",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-remus-m3v/,"Underwater exploration, Marine technology, Remote sensing, Oceanography, Subsea operations"
,"Autonomous Underwater Vehicle, HUGIN Superior",Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin-superior/,"Underwater exploration, High-resolution imaging, Geophysical survey, Pipeline inspection, Environmental monitoring."
,"Autonomous Underwater Vehicle, REMUS 6000",Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-remus-6000/,"Underwater exploration, Marine technology, Remote monitoring, Oceanic research, Subsea operations"
,"Autonomous Underwater Vehicle, HUGIN Endurance",Autonomous and uncrewed solutions," Shallow Water Multibeam, Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/autonomous-underwater-vehicle-hugin-endurance/,"Autonomous Underwater Vehicle, Long-range Operations, Hydro-acoustic Instruments, Multibeam Sensors, Remote Operation"
,"Autonomous Underwater Vehicle, HUGIN Edge",Autonomous and uncrewed solutions," Shallow Water Multibeam, Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/autonomous-underwater-vehicle-hugin-edge/,"Underwater survey, Unmanned vehicle, Advanced navigation, Obstacle avoidance, Artificial intelligence."
,"Unmanned Surface Vehicle, GeoSwath 4R USV",Autonomous and uncrewed solutions," Data Analytics Platforms, Cloud-Based Data Management, Remote Monitoring Solutions, Data Synchronization, Data Management",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-surface-vehicles/geoswath-4r-USV/,"Autonomous solutions, Uncrewed vehicles, Hydrographic surveying, Marine technology, Remote sensing."
,"Uncrewed Surface Vehicle, Sounder",Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-surface-vehicles/sounder-uncrewed-surface-vehicle/,"Autonomous solutions, Unmanned surface vehicle, Acoustic surveying, Marine technology, Remote sensing."
,"Uncrewed Surface Vehicle, Sounder",Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/marine-robotics/uncrewed-surface-vehicle-sounder/,"Uncrewed Surface Vehicle, Hydroacoustic Applications, Multi-Purpose Platform, Global Deployment, Reliable Propulsion System."
,"Uncrewed Surface Vehicle, Sounder",Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Shallow Water Multibeam, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-surface-vehicles/sounder-uncrewed-surface-vehicle/,"Autonomous technology, Marine surveying, Remote monitoring, Ocean exploration, Underwater mapping"
,"Uncrewed Surface Vehicle, Sounder",Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Shallow Water Multibeam, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/marine-robotics/uncrewed-surface-vehicle-sounder/,"Uncrewed Surface Vehicle, Hydroacoustic Applications, Multi-purpose Platform, Reliable Propulsion System, Autonomous Operation."
,EK Mission Planner,Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Shallow Water Multibeam, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/ekmp/,"autonomous mission planning, echo sounders, ping configurations, ocean observatories, fish migration studies"
,Kongsberg Proximity Assistance,Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Shallow Water Multibeam, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/situational-awareness/proximityview/,"Proximity assistance, Situational Awareness, Docking assistance, Motion prediction, Training."
,Kongsberg Camera Cluster,Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/situational-awareness/kongsberg-camera-cluster/,"precision, reliability, flexible mounting, distributed camera system, situational awareness"
,EK80 Portable,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/sci_es_transceivers/ek80p/,"Compact, Rugged, Portable, Wideband, Multiplexing."
,EK80 Portable entry,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Portable Hydrographic System, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/sci_es_transceivers/ek80-portable-entry/,"portable ecosystem monitoring, wideband transceiver, dual-frequency transducer, post-processing module included, rugged and compact design"
,EK80 software,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/ek80software/,"Scientific echo sounder, ADCP system, underwater ecosystem monitoring, oceanographic applications, high-precision, wideband frequency sweep."
,Simrad EK15,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/simrad-ek15/,"Fish finding, marine technology, sonar equipment, underwater imaging, commercial fishing equipment."
,Simrad EK60,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/simrad-ek60/,"Fish finding, scientific echo sounder, ocean science, transducer, multifrequency operation"
,Simrad EY60,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/simrad-ey60/,"Portable, Scientific, Echo Sounder, Biomass Assessment, Fish Tracking."
,Simrad ES18,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/td18khz/es18/,"split-beam transducer, deep water measurements, 18 kHz frequency, 11 degree beamwidth, underwater science applications"
,Simrad 18-11,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/td18khz/18-11/,"Single beam transducer, Bottom mapping, Low frequency, Deep water measurements, Flush-mountable."
,Simrad 38-7,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/38_7/,"Single beam transducer, 38 kHz frequency, bottom mapping, narrow beam, flush-mountable."
,Simrad 38-9,Fish finding," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/38_9/,"Single beam transducer, Bottom mapping, Narrow beam, Flush-mountable, 38 kHz frequency."
,Simrad ES38-7,Fish finding," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/es38_7/,"wide-band split-beam transducer, fishery and underwater science applications, 38 kHz frequency, 7 degrees beamwidth, 20 and 40 meter cable options"
,Simrad ES38-10,Fish finding," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/es38-10/,"split-beam transducer, medium-sized, scientific applications, flush-mount, 38 kHz operating frequency"
,Simrad ES38-18DK,Fish finding," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/es38-18dk/,"underwater science, single-beam transducer, split-beam transducer, 38 kHz frequency, 1500 m depth"
,Simrad ES38B,Fish finding," Portable Hydrographic System, Multibeam Sonar, Fishery Sonar Systems, Acoustic Telemetry for Fish Studies, Fisheries Research Software",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/es38b/,"high power transducer, split-beam technology, 38 kHz frequency, fish finding echo sounders, scientific echo sounders"
,Simrad ES38DD,Fish finding," Portable Hydrographic System, Multibeam Sonar, Fishery Sonar Systems, Acoustic Telemetry for Fish Studies, Fisheries Research Software",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/es38dd/,"Depth rated, Split-beam, Fishery research, 38 kHz frequency, 1500 meters depth rating."
,Simrad 38/200 Combi C,Fish finding," Acoustic Telemetry for Fish Studies, Fisheries Research Software, Fishery Sonar Systems, Multibeam Sonar, Sub-bottom Profilers",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/38_200_combi_c/,"dual frequency, single beam, transducer, fish finding, temperature sensor"
,Simrad 38/200 Combi D,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Side Scan Sonars, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/38_200_combi_d/,"dual frequency, single beam, hydrographic applications, navigation echo sounders, under hull mounting"
,Simrad ES38-18/200-18C,Fish finding," Portable Hydrographic System, Multibeam Echo Sounders, Multibeam Sonar, Side Scan Sonars, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/es38-18-200-18c/,"split-beam transducer, single-beam transducer, 38 kHz frequency, 200 kHz frequency, 18 degrees beamwidth, underwater research, fishery applications."
,Simrad ES38-18/200-18CR,Fish finding," Side Scan Sonars, Multibeam Sonar, Sub-bottom Profilers, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/es38-18-200-18cr/,"Split-beam transducer, 38 kHz frequency, 200 kHz frequency, 18 degrees beamwidth, flush mountable."
,Simrad ES38-12,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Side Scan Sonars, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/es38_12/,"Medium-sized split-beam transducer, Scientific applications, Flush-mountable, 38 kHz operating frequency, 12 ±2 degrees beamwidth."
,Simrad C-All,Fish finding," Multibeam Sonar, High-Resolution Sonar, Sonar Heads, Scanning Sonar, Sub-bottom Profilers",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/c-all/,"single beam transducer, multiple frequencies, high range resolution, flush mountable, professional-grade."
,Simrad C-All,Fish finding," Multibeam Sonar, High-Resolution Sonar, Sonar Heads, Scanning Sonar, Sub-bottom Profilers",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-70khz-transducers/simrad-c-all/,"Single beam transducer, Multiple operational frequencies, Long range detection, Fine range resolution, Flush mount installation."
,Simrad C-All,Fish finding," Multibeam Sonar, High-Resolution Sonar, Sonar Heads, Scanning Sonar, Sub-bottom Profilers",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-120khz-transducers/simrad-c-all/,"Single beam transducer, Multiple frequencies, Wide bandwidth, Flush mountable, Long range."
,Simrad C-All,Fish finding," Multibeam Sonar, High-Resolution Sonar, Sonar Heads, Scanning Sonar, Sub-bottom Profilers",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/200-khz/simrad-c-all/,"Single beam transducer, Multiple frequencies, Wide bandwidth, Flush mountable, Long range."
,Simrad C-All,Fish finding," Sonar Heads, Multibeam Sonar, Portable Hydrographic System, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/c-all/,"Single beam transducer, Multiple operational frequencies, Long range, Fine range resolution, Flush mountable."
,Simrad C-All,Fish finding," Sonar Heads, Multibeam Sonar, Portable Hydrographic System, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-70khz-transducers/simrad-c-all/,"Single beam transducer, Multiple frequencies, Long range, Fine range resolution, Flush mountable."
,Simrad C-All,Fish finding," Sonar Heads, Multibeam Sonar, Portable Hydrographic System, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-120khz-transducers/simrad-c-all/,"Single beam transducer, Multiple frequencies, Long range, Fine range resolution, Easy installation."
,Simrad C-All,Fish finding," Sonar Heads, Multibeam Sonar, Portable Hydrographic System, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/200-khz/simrad-c-all/,"Single beam transducer, Multiple frequencies, Wide bandwidth, Flush mountable, Long range."
,Simrad C-All,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/c-all/,"Single beam transducer, Multiple frequencies, Long range, High resolution, Easy installation."
,Simrad C-All,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-70khz-transducers/simrad-c-all/,"Single beam transducer, Multiple frequencies, Long range, High resolution, Easy installation."
,Simrad C-All,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-120khz-transducers/simrad-c-all/,"Single beam transducer, Multiple frequencies, Long range, Fine range resolution, Easy installation."
,Simrad C-All,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/200-khz/simrad-c-all/,"Single beam transducer, Multiple frequencies, Long range, Fine range resolution, Flush mountable."
,Simrad C-All,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-38khz-transducers/c-all/,"Single beam transducer, Multiple operational frequencies, Long range detection, High resolution, Easy installation."
,Simrad C-All,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-70khz-transducers/simrad-c-all/,"Single beam transducer, Multiple frequencies, High range resolution, Flush mountable, Long cable length."
,Simrad C-All,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-120khz-transducers/simrad-c-all/,"Single beam transducer, Multiple operating frequencies, Long range, Fine range resolution, Flush mountable."
,Simrad C-All,Fish finding," Multibeam Echo Sounders, Multibeam Sonar, Scanning Sonar, Underwater Mapping Systems, Survey Equipment",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/200-khz/simrad-c-all/,"Single beam transducer, Multiple operating frequencies, Long range, High resolution, Easy installation."
,Simrad 50-7,Fish finding," Data Analytics Platforms, Cloud-Based Data Management, Remote Monitoring Solutions, Survey Equipment, Data Printing",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-50khz-transducers/simrad-50-7/,"single-beam transducer, 50 kHz frequency, 7° beamwidth, fish finding echo sounders, hull mounted."
,Simrad 50-18,Fish finding," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-50khz-transducers/simrad-50-18/,"single beam, echo sounder, transducer, hydrographic, navigation"
,Simrad 50-18POR,Fish finding," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-50khz-transducers/simrad-50-18por/,"portable, single beam, hydrographic echo sounders, 50 kHz, compact housing"
,Simrad 50/200 Combi C,Fish finding," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/commercial-fisheries/td/simrad-50khz-transducers/simrad-50200-combi-c/,"dual frequency, single beam, streamlined design, hull mounting, fish finder"
